epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,620.968,1.69533,4.10199,1.61311,0.53601,0.10504,0.14115,0.06584,1.59432,3.30113,1.49613,0.000998647,0.000332882,0.000998647,0.000332882,0.000998647,0.000332882,0.000998647,0.000332882
2,1211.54,1.56771,3.1277,1.47274,0.55775,0.43728,0.38351,0.19934,1.56903,2.13328,1.39574,0.00195907,0.000653025,0.00195907,0.000653025,0.00195907,0.000653025,0.00195907,0.000653025
3,1796.86,1.57379,2.48735,1.44319,0.5943,0.60976,0.59384,0.31105,1.54418,1.59845,1.38014,0.0028799,0.000959967,0.0028799,0.000959967,0.0028799,0.000959967,0.0028799,0.000959967
4,2379.88,1.53984,2.1784,1.39297,0.62201,0.69086,0.66804,0.34534,1.52143,1.3996,1.34423,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,2962.65,1.50908,1.9875,1.3508,0.63578,0.73321,0.69695,0.37241,1.49083,1.31561,1.3014,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,3545.22,1.48633,1.88968,1.33424,0.68354,0.7562,0.74281,0.39912,1.4934,1.24846,1.3142,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,4127.59,1.47409,1.82714,1.3132,0.70787,0.76948,0.73647,0.40497,1.47208,1.15943,1.28378,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,4709.68,1.46009,1.75654,1.31148,0.7013,0.76666,0.75234,0.40915,1.45844,1.18674,1.28269,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,5292.35,1.44957,1.69289,1.28878,0.74946,0.77784,0.78544,0.43398,1.45523,1.10162,1.2556,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,5874.76,1.43985,1.65959,1.27628,0.73998,0.78566,0.79004,0.43861,1.45412,1.08577,1.27281,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,6456.97,1.41556,1.61107,1.26993,0.76481,0.7889,0.79686,0.44137,1.45429,1.05151,1.26784,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,7039.35,1.40831,1.55697,1.26091,0.74384,0.79566,0.79681,0.43604,1.4752,1.03844,1.27718,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,7621.53,1.40743,1.53995,1.25949,0.76342,0.79707,0.79894,0.43888,1.45865,1.05025,1.26015,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,8204.2,1.39754,1.52273,1.25144,0.73927,0.81225,0.79312,0.43708,1.44873,1.02348,1.26112,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,8787.31,1.39011,1.47886,1.2405,0.73232,0.81748,0.80162,0.44584,1.44674,1.00715,1.26284,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,9370.82,1.38591,1.45748,1.24072,0.75567,0.80955,0.8038,0.44368,1.457,0.99963,1.26782,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,9953.77,1.37083,1.4325,1.22677,0.76664,0.79337,0.80358,0.45156,1.43834,0.99562,1.26009,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
18,10536.3,1.37258,1.43358,1.2275,0.74686,0.79615,0.80954,0.45451,1.43594,0.9868,1.24844,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
19,11118.9,1.35249,1.41035,1.21961,0.74523,0.8125,0.80733,0.46247,1.41621,0.9733,1.24816,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
20,11701.5,1.35416,1.38885,1.22028,0.76248,0.81166,0.81463,0.45917,1.42175,0.96247,1.25138,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
21,12283.7,1.34329,1.36811,1.21084,0.74336,0.83054,0.81837,0.4662,1.4237,0.95289,1.25044,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
22,12868.6,1.3412,1.37425,1.20758,0.76316,0.80401,0.80797,0.45819,1.43717,0.9533,1.25827,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
23,13453.9,1.3183,1.31893,1.20185,0.73866,0.83174,0.79801,0.45067,1.43745,0.95728,1.24974,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
24,14038.1,1.33576,1.32835,1.21115,0.77143,0.81549,0.81598,0.46317,1.41963,0.9355,1.24814,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
25,14622.4,1.32291,1.3149,1.19418,0.75954,0.81245,0.80282,0.45557,1.42531,0.94358,1.24771,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
26,15206.8,1.30164,1.27789,1.18654,0.75284,0.8068,0.80905,0.46483,1.41858,0.92815,1.24307,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
27,15791.3,1.31272,1.28359,1.19182,0.78119,0.80813,0.8143,0.46313,1.42675,0.93719,1.24409,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
28,16375,1.29859,1.25985,1.18221,0.7602,0.83096,0.81691,0.4662,1.40979,0.90891,1.23851,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
29,16958.4,1.30317,1.26444,1.18474,0.7489,0.83734,0.81751,0.46695,1.40744,0.92873,1.2387,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
30,17542.6,1.28141,1.24976,1.17814,0.7818,0.81972,0.8197,0.46469,1.42523,0.90582,1.24782,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,18126.5,1.28122,1.22775,1.17204,0.74872,0.83404,0.81558,0.46691,1.41612,0.88819,1.24165,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,18710.5,1.27564,1.20938,1.16348,0.7364,0.83798,0.80952,0.46512,1.41867,0.91867,1.24572,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,19293.5,1.25632,1.20326,1.16149,0.75673,0.82325,0.8121,0.46264,1.43563,0.90478,1.25654,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,19878.9,1.27606,1.19438,1.17005,0.75388,0.85351,0.81941,0.46501,1.42857,0.92128,1.24723,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,20462.3,1.26918,1.19969,1.16124,0.7685,0.83632,0.81606,0.46744,1.42379,0.90923,1.23791,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,21046.3,1.25334,1.18593,1.15555,0.74398,0.85251,0.81361,0.46961,1.41015,0.91587,1.23725,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,21630.5,1.26291,1.17398,1.15854,0.77872,0.82132,0.81808,0.47191,1.408,0.89581,1.23928,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,22214,1.24282,1.17696,1.15135,0.77385,0.82771,0.81527,0.47136,1.40931,0.90375,1.2403,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,22795.6,1.25304,1.16965,1.15334,0.77734,0.8198,0.82226,0.47752,1.39815,0.90051,1.2296,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,23376.6,1.24287,1.15405,1.15003,0.79009,0.82698,0.82674,0.4782,1.40054,0.88486,1.23232,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,23984.4,1.21593,1.19906,1.14299,0.75624,0.81578,0.81577,0.48012,1.39394,0.8767,1.23423,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,24562.6,1.20335,1.17201,1.13665,0.77371,0.8139,0.82389,0.48159,1.40155,0.88495,1.23128,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,25141.4,1.18774,1.15736,1.12546,0.7842,0.80697,0.82532,0.47864,1.409,0.88276,1.23859,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,25718.8,1.18312,1.1404,1.12243,0.78783,0.81226,0.82808,0.4789,1.40276,0.88649,1.23346,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,26295.8,1.18104,1.14622,1.12704,0.77336,0.83237,0.82194,0.47689,1.40273,0.88869,1.23736,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
46,26873.2,1.1773,1.13951,1.1262,0.78896,0.82567,0.82447,0.48192,1.39023,0.88006,1.22662,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
47,27450.6,1.15893,1.1111,1.11945,0.7829,0.81879,0.82568,0.48048,1.39359,0.88102,1.22852,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
48,28027.8,1.16373,1.11483,1.11565,0.78825,0.83196,0.82409,0.48164,1.39008,0.88285,1.22508,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
49,28605,1.16834,1.12496,1.11744,0.78214,0.82237,0.82016,0.48213,1.38633,0.87517,1.22513,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
