epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3123.06,1.83874,3.44257,1.86085,0.50886,0.56129,0.54802,0.27767,1.61383,1.84418,1.74086,0.000998316,0.000332772,0.000998316,0.000332772,0.000998316,0.000332772,0.000998316,0.000332772
2,6024.07,1.57086,1.83134,1.59107,0.82616,0.76604,0.82747,0.4485,1.51967,1.06302,1.57187,0.00195875,0.000652917,0.00195875,0.000652917,0.00195875,0.000652917,0.00195875,0.000652917
3,8889.86,1.51491,1.42796,1.50945,0.87077,0.7872,0.8697,0.49308,1.47299,0.87256,1.49175,0.00287958,0.000959861,0.00287958,0.000959861,0.00287958,0.000959861,0.00287958,0.000959861
4,11760.4,1.46658,1.22319,1.45263,0.8547,0.83426,0.88852,0.5047,1.45894,0.80139,1.46594,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,14726.5,1.44723,1.12936,1.42857,0.85158,0.85211,0.89881,0.51258,1.44723,0.76635,1.46019,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,17592,1.41631,1.04521,1.40594,0.86618,0.8456,0.9048,0.52558,1.40922,0.73816,1.43366,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,20552.7,1.39813,1.00514,1.40049,0.86774,0.84839,0.90209,0.52833,1.42554,0.72161,1.45168,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,23404.1,1.39765,0.97708,1.38496,0.86197,0.86149,0.90249,0.52652,1.41938,0.71115,1.42591,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,26360.3,1.37548,0.93595,1.37362,0.87528,0.86269,0.91196,0.53617,1.41477,0.68963,1.44523,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,29235.6,1.35706,0.89488,1.36947,0.88354,0.87016,0.91512,0.54199,1.41296,0.68468,1.44294,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,32370.3,1.33769,0.87018,1.3523,0.87771,0.85165,0.90546,0.53731,1.42438,0.69139,1.43557,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,35506,1.32315,0.86969,1.33655,0.87311,0.86313,0.9129,0.53646,1.43647,0.68341,1.44502,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,38380.6,1.32388,0.84988,1.34127,0.87458,0.86934,0.92094,0.54107,1.43628,0.68195,1.45423,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
