epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3031.49,1.85991,4.41004,1.9528,0.385,0.38295,0.34795,0.17177,1.72085,2.38962,1.84225,0.000998316,0.000332772,0.000998316,0.000332772,0.000998316,0.000332772,0.000998316,0.000332772
2,5930.83,1.62569,2.57819,1.68754,0.51681,0.61791,0.53761,0.28476,1.61398,1.52667,1.65324,0.00195875,0.000652917,0.00195875,0.000652917,0.00195875,0.000652917,0.00195875,0.000652917
3,8816.71,1.56714,2.02742,1.5939,0.6136,0.69418,0.6525,0.34797,1.53682,1.26476,1.56874,0.00287958,0.000959861,0.00287958,0.000959861,0.00287958,0.000959861,0.00287958,0.000959861
4,11690.7,1.52219,1.7346,1.54311,0.63737,0.71766,0.67988,0.37242,1.54688,1.16593,1.5413,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,14561.7,1.50513,1.60087,1.49148,0.63886,0.75816,0.71567,0.3909,1.5222,1.11673,1.5139,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,17434.4,1.45903,1.49469,1.4793,0.63599,0.77438,0.72077,0.39459,1.50072,1.1069,1.50984,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,20303.3,1.43015,1.39225,1.44941,0.67082,0.75546,0.73964,0.40959,1.48517,1.0834,1.47919,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,23164.4,1.44707,1.377,1.4486,0.65499,0.78431,0.74794,0.41389,1.48682,1.0814,1.49023,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,26041.4,1.42119,1.31156,1.44252,0.69868,0.76462,0.74932,0.41292,1.50375,1.02946,1.5232,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,28906.2,1.39027,1.25131,1.41948,0.6947,0.79426,0.77791,0.43496,1.47314,0.98164,1.48477,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,31796,1.36806,1.20047,1.40394,0.70424,0.79217,0.76726,0.42882,1.47165,0.97505,1.48273,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,38856.8,1.35661,1.19841,1.39033,0.70601,0.80948,0.77965,0.42987,1.49225,0.94803,1.47922,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,41715.6,1.35375,1.15967,1.39088,0.7242,0.79029,0.78396,0.43443,1.46786,0.98419,1.4832,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,44572.7,1.3313,1.13437,1.38649,0.71734,0.81486,0.78696,0.43881,1.49354,0.95604,1.48814,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,47537.4,1.32353,1.1023,1.37011,0.73084,0.79254,0.78976,0.44823,1.4689,0.94956,1.47282,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,50399.6,1.30547,1.05325,1.35624,0.70543,0.80469,0.77395,0.43582,1.46739,0.98828,1.47856,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,53258.2,1.28476,1.03748,1.34666,0.73117,0.81687,0.77268,0.43485,1.477,0.95856,1.49899,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
18,56226.6,1.29067,1.03237,1.34944,0.71543,0.79766,0.77451,0.4321,1.49171,0.98849,1.50105,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
19,59093.2,1.26625,1.0039,1.32526,0.74646,0.7775,0.78944,0.44765,1.48182,0.96261,1.47421,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
20,62029.3,1.26616,1.01485,1.32046,0.72593,0.80643,0.78969,0.4488,1.47858,0.97445,1.48745,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
21,64886.3,1.23305,0.96374,1.30238,0.72651,0.79374,0.78932,0.44681,1.49547,0.99195,1.51488,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
22,67741.5,1.24019,0.98144,1.3152,0.72523,0.802,0.79563,0.45036,1.48166,0.96412,1.50384,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
23,70596.7,1.20735,0.9273,1.2916,0.72226,0.79919,0.78249,0.44152,1.49213,1.00931,1.50673,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
24,73457,1.21387,0.94082,1.29667,0.71432,0.81608,0.79626,0.45294,1.48923,0.99698,1.5113,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
25,76326.1,1.20424,0.90919,1.2893,0.74377,0.81837,0.79533,0.44334,1.48642,0.92967,1.51953,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
26,79188.8,1.21566,0.91136,1.29534,0.76179,0.79535,0.79926,0.45151,1.49238,0.93438,1.51453,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
27,82063.2,1.16711,0.89263,1.28483,0.73199,0.82405,0.79341,0.448,1.50425,0.99106,1.53546,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
28,84938.1,1.17141,0.87005,1.27336,0.7577,0.78764,0.79115,0.44727,1.50103,0.9934,1.52899,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
