epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,311.11,1.9056,4.78391,1.86514,0.33697,0.36307,0.29299,0.14098,1.80867,2.5043,1.7957,0.000996633,0.000332211,0.000996633,0.000332211,0.000996633,0.000332211,0.000996633,0.000332211
2,618.56,1.64409,2.45357,1.63445,0.48494,0.55821,0.51396,0.26706,1.67345,1.7597,1.63448,0.0019571,0.000652367,0.0019571,0.000652367,0.0019571,0.000652367,0.0019571,0.000652367
3,911.244,1.58692,1.93625,1.53145,0.57861,0.66796,0.63837,0.33153,1.63603,1.5127,1.55787,0.00287797,0.000959322,0.00287797,0.000959322,0.00287797,0.000959322,0.00287797,0.000959322
4,1205.47,1.52871,1.68497,1.44821,0.65175,0.71943,0.7087,0.37666,1.56726,1.29694,1.44596,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,1508.02,1.48938,1.50191,1.39553,0.70128,0.73047,0.73482,0.39223,1.55722,1.24258,1.41007,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,1802.21,1.45406,1.41935,1.3515,0.62978,0.74322,0.71363,0.38888,1.5431,1.23787,1.40281,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,2086.32,1.43372,1.34005,1.32559,0.63244,0.79213,0.74482,0.40837,1.51544,1.21101,1.37875,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,2371.85,1.42365,1.26927,1.31639,0.67581,0.79071,0.74374,0.41463,1.50678,1.15095,1.35636,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,2654.01,1.41582,1.22417,1.30689,0.69944,0.78119,0.76639,0.41402,1.52216,1.08101,1.35923,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,2934.4,1.38634,1.19289,1.28722,0.68515,0.78137,0.76263,0.41483,1.52441,1.10639,1.37064,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,3214.02,1.36661,1.14809,1.27255,0.71583,0.80544,0.77713,0.42935,1.5168,1.07026,1.35297,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,3505.88,1.34932,1.11962,1.265,0.70777,0.77881,0.76468,0.4226,1.53541,1.08289,1.35734,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
